Species,mg/m2,0.0033,0.0066,0.0131,0.0175,0.0263,0.0525,0.1050,0.42,0.84,1.68,3.36,6.72,13.44,26.88,53.76,107.52,215.04,430.08,860.16
"Porcellio laevis Latreille, 1804",living,8,8,8,8,8,8,8,8,6,4,1,2,1,1,0,0,0,0,0
,dead,0,0,0,0,0,0,0,0,2,4,7,6,7,7,8,8,8,8,8
"Geophilus carpophagus Leach, 1815",living,8,8,8,8,8,8,8,8,8,8,8,8,7,5,3,3,1,0,0
,dead,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,7,8,8
"Lithobius forficatus (Linnaeus, 1758)",living,8,8,8,8,8,8,8,8,5,4,3,4,3,2,1,0,0,0,0
,dead,0,0,0,0,0,0,0,0,3,4,5,4,5,6,7,8,8,8,8
"Cylindroiulus truncorum (Silvestri, 1896)",living,8,8,8,8,8,8,8,8,8,8,8,6,3,3,2,3,1,0,0
,dead,0,0,0,0,0,0,0,0,0,0,0,2,5,5,6,5,7,8,8
Megaphyllum sp.,living,6,6,6,6,6,6,6,6,4,4,3,1,2,0,0,0,0,0,0
,dead,0,0,0,0,0,0,0,0,2,2,3,5,4,6,6,6,6,6,6
"Forficula auricularia Linnaeus, 1758",living,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,2,0,0
,dead,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,6,6
"Labia minor (Linnaeus, 1758)",living,8,8,8,8,8,8,8,8,8,8,6,3,1,2,1,0,0,0,0
,dead,0,0,0,0,0,0,0,0,0,0,2,5,7,6,7,8,8,8,8
Chorthippus sp. 1,living,6,6,6,6,6,6,6,6,6,6,5,4,2,0,0,0,0,0,0
,dead,0,0,0,0,0,0,0,0,0,0,1,2,4,6,6,6,6,6,6
Chorthippus sp. 2,living,6,6,6,6,6,6,6,6,6,5,4,3,1,0,0,0,0,0,0
,dead,0,0,0,0,0,0,0,0,0,1,2,3,5,6,6,6,6,6,6
"Carabus convexus Fabricius, 1775",living,8,8,8,8,8,8,6,2,1,2,1,0,0,0,0,0,0,0,0
,dead,0,0,0,0,0,0,2,6,7,6,7,8,8,8,8,8,8,8,8
"C. granulatus Linnaeus, 1758",living,8,8,8,8,8,8,8,5,3,1,2,1,0,0,0,0,0,0,0
,dead,0,0,0,0,0,0,0,3,5,7,6,7,8,8,8,8,8,8,8
"C. hortensis Linnaeus, 1758",living,6,6,6,6,6,6,6,4,2,1,1,0,0,0,0,0,0,0,0
,dead,0,0,0,0,0,0,0,2,4,5,5,6,6,6,6,6,6,6,6
"Pterostichus niger (Schaller, 1783)",living,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,5,3,0
,dead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,8
"P. melanarius (Illiger, 1798)",living,8,8,8,8,8,8,8,8,8,8,8,8,8,7,6,6,3,1,0
,dead,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,7,8
"Poecilus versicolor (Sturm, 1824)",living,6,6,6,6,6,6,6,6,6,6,6,5,4,4,2,0,0,0,0
,dead,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,6,6,6,6
"Calathus fuscipes (Goeze, 1777)",living,6,6,6,6,6,6,6,6,6,6,6,6,6,5,3,3,2,0,0
,dead,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,6,6
"Nebria brevicollis (Fabricius, 1792)",living,6,6,6,6,6,6,6,6,6,6,6,6,6,4,2,2,0,0,0
,dead,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,6,6,6
"Ophonus rufibarbis (Fabricius, 1792)",living,8,8,8,8,8,8,8,8,8,8,8,8,8,7,3,2,0,0,0
,dead,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,8,8,8
"Harpalus latus (Linnaeus, 1758)",living,6,6,6,6,6,6,6,6,6,6,6,5,5,4,2,1,0,0,0
,dead,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,5,6,6,6
