"Order","Family","Species","LC50","CI95","Slope","Intercept","ChiSq","df","BodyMass","BodyLength","Note"
"Isopoda","Porcellionidae","Porcellio laevis Latreille, 1804","2.23","1.33-3.73","1.70 ± 0.31","-0.59","5.9",17,29,"10-20","a"
"Geophilomorpha","Geophilidae","Geophilus carpophagus Leach, 1815","49.9","31.8-78.2","2.11 ± 0.41","-3.58","2.1",17,12,"15-60",""
"Lithobiomorpha","Lithobiidae","Lithobius forficatus (Linnaeus, 1758)","3.92","2.13-7.19","1.21 ± 0.18","-0.72","7.0",17,21,"18-30","a"
"Julida","Julidae","Cylindroiulus truncorum (Silvestri, 1896)","23.7","13.9-40.3","1.51 ± 0.25","-2.08","7.7",17,42,"15-20","a"
"","Julidae","Megaphyllum sp.","2.96","1.64-5.33","1.71 ± 0.36","-0.81","4.6",17,47,"17-22","a"
"Dermaptera","Forficulidae","Forficula auricularia Linnaeus, 1758","105","63.9-173","2.31 ± 0.55","-4.68","2.5",17,29,"12-14",""
"Dermaptera","Spongiphoridae","Labia minor (Linnaeus, 1758)","7.71","4.89-12.2","2.05 ± 0.39","-1.82","5.7",17,3,"4-7","a"
"Orthoptera","Acrididae","Chorthippus sp. 1","8.33","5.52-12.6","3.33 ± 0.92","-3.07","1.0",17,72,"20-28",""
"Orthoptera","Acrididae","Chorthippus sp. 2","5.27","3.31-8.39","2.61 ± 0.64","-1.88","1.0",17,63,"18-25",""
"Coleoptera","Carabidae","Carabus convexus Fabricius, 1775","0.351","0.206-0.599","1.76 ± 0.29","0.80","6.1",17,120,"15-18","a"
"","Carabidae","C. granulatus Linnaeus, 1758","0.793","0.470-1.34","1.81 ± 0.33","0.18","4.4",17,106,"17-23","a"
"","Carabidae","C. hortensis Linnaeus, 1758","0.708","0.409-1.22","2.26 ± 0.57","0.34","1.7",17,237,"23-30",""
"","Carabidae","Pterostichus niger (Schaller, 1783)","253","165-387","2.52 ± 0.61","-6.07","2.6",17,74,"15-21",""
"","Carabidae","P. melanarius (Illiger, 1798)","137","87.7-214","2.19 ± 0.46","-4.69","2.2",17,71,"12-18",""
"","Carabidae","Poecilus versicolor (Sturm, 1824)","26.2","16.0-42.8","2.33 ± 0.54","-3.31","2.6",17,15,"8-11.5",""
"","Carabidae","Calathus fuscipes (Goeze, 1777)","85.5","51.6-142","2.24 ± 0.52","-4.32","2.7",17,25,"10-14",""
"","Carabidae","Nebria brevicollis (Fabricius, 1792)","48.6","31.2-75.9","2.86 ± 0.73","-4.82","2.6",17,29,"10-14",""
"","Carabidae","Ophonus rufibarbis (Fabricius, 1792)","54.4","38.6-76.8","3.58 ± 0.88","-6.21","1.5",17,11,"7.5-10",""
"","Carabidae","Harpalus latus (Linnaeus, 1758)","33.1","19.9-55.1","2.18 ± 0.49","-3.31","1.7",17,12,"8-10.5",""
"","Carabidae","H. rufipes (DeGeer, 1774)","58.3","35.7-95.3","1.79 ± 0.33","-3.16","3.7",17,47,"11-16",""
"","Carabidae","Notiophilus palustris (Duftschmid, 1812)","14.9","8.78-25.2","2.04 ± 0.44","-2.40","1.7",17,5,"4.5-6",""
"","Carabidae","Amara nitida Sturm, 1825","2.08","1.38-3.15","3.32 ± 0.93","-1.06","1.0",17,6,"6.5-7.5",""
"Coleoptera","Staphylinidae","Tachyporus hypnorum (Fabricius, 1775)","0.0849","0.0586-0.123","5.02 ± 2.17","5.38","0.1",17,0.5,"3.1-4",""
"","Staphylinidae","Tachinus signatus Gravenhorst, 1802","0.116","0.0683-0.196","2.71 ± 0.67","2.54","2.6",17,0.8,"5-6",""
"","Staphylinidae","Drusilla canaliculata (Fabricius, 1787)","0.0669","0.0482-0.0928","5.42 ± 2.02","6.36","0.2",17,0.6,"4-4.8",""
"","Staphylinidae","Xantholinus tricolor (Fabricius, 1787)","0.00956","0.00688-0.0133","4.33 ± 1.25","8.74","0.8",17,8,"9-12",""
"","Staphylinidae","X. longiventris Heer, 1839","0.0218","0.0150-0.0317","3.12 ± 0.85","5.18","1.5",17,5,"7-9.5",""
"","Staphylinidae","Philonthus coprophilus Jarrige, 1949","0.0176","0.0132-0.0236","3.63 ± 0.91","6.37","4.2",17,7,"6.6-8.5",""
"","Staphylinidae","Ph. decorus (Gravenhorst, 1802)","0.0428","0.0296-0.0619","3.86 ± 1.08","5.29","2.1",17,12,"11-13",""
"","Staphylinidae","Ph. nitidus (Fabricius, 1787)","0.0241","0.0159-0.0366","2.67 ± 0.71","4.31","2.5",17,15,"10.5-16",""
"","Staphylinidae","Ph. carbonarius (Gravenhorst, 1802)","0.0125","0.00947-0.0166","4.01 ± 1.02","7.63","3.1",17,1,"4.3-4.9",""
"","Staphylinidae","Ph. cruentatus (Gmelin, 1790)","0.0160","0.0121-0.0212","3.84 ± 0.98","6.90","1.3",17,4,"7-7.5",""
"","Staphylinidae","Ontholestes murinus (Linnaeus, 1758)","0.123","0.0699-0.216","2.17 ± 0.46","1.98","5.3",17,16,"11.5-14",""
"Coleoptera","Silphidae","Silpha carinata Herbst, 1783","0.180","0.106-0.305","1.78 ± 0.29","1.33","6.9",17,74,"12-23",""
"","Silphidae","Phosphuga atrata (Linnaeus, 1758)","0.179","0.103-0.311","2.41 ± 0.54","1.80","1.8",17,42,"10-16",""
"Coleoptera","Histeridae","Hister fenestus Erichson, 1834","4.27","2.53-7.22","2.09 ± 0.47","-1.32","3.4",17,6,"4-6",""
"Coleoptera","Aphodiidae","Aphodius foetens (Fabricius, 1787)","1.28","0.745-2.20","2.12 ± 0.52","-0.23","2.3",17,9,"6-8.5",""
"","Aphodiidae","Teuchestes fossor (Linnaeus, 1758)","2.82","1.72-4.62","1.82 ± 0.34","-0.82","3.3",17,41,"8-13",""
"Coleoptera","Cetoniidae","Oxythyrea funesta (Poda, 1761)","58.5","31.4-109","1.52 ± 0.31","-2.69","6.1",17,45,"8-12","a"
"Coleoptera","Cantharidae","Podistra schoenherri (Dejean, 1837)","1.24","0.757-2.04","1.93 ± 0.38","-0.18","1.0",17,9,"6.5-10",""
"Hemiptera","Pentatomidae","Graphosoma italicum (Müller, 1766)","4.60","2.61-8.11","1.80 ± 0.38","-1.19","3.0",17,45,"8-12",""
"","Miridae","Lygus pratensis (Linnaeus, 1758)","1.68","1.14-2.48","2.88 ± 0.68","-0.65","3.1",17,2,"5.5-7",""
"","Coreidae","Coreus marginatus (Linnaeus, 1758)","2.09","1.24-3.51","2.19 ± 0.53","-0.70","2.5",17,23,"13-15",""
"","Pyrrhocoridae","Pyrrhocoris apterus (Linnaeus, 1758)","0.0292","0.0158-0.0540","1.23 ± 0.23","1.88","14.2",17,32,"9-11","a"
"","Lygaeidae","Scolopostethus pilosus Reuter,1874","1.12","0.640-1.97","2.01 ± 0.47","-0.10","2.6",17,0.6,"3.5-4.5",""
"","Lygaeidae","Rhyparochromus phoeniceus (Rossi, 1794)","1.34","0.839-2.13","2.14 ± 0.45","-0.27","3.2",17,4,"7.5-9",""
"Hymenoptera","Formicidae","Myrmica ruginodis Nylander, 1846","3.35","2.17-5.16","2.28 ± 0.47","-1.20","0.7",17,0.7,"3-4.5",""
"","Formicidae","Lasius flavus (Fabricius, 1782)","7.25","5.04-10.4","3.21 ± 0.75","-2.76","1.6",17,0.3,"2.5-4",""
"","Formicidae","L. fuliginosus (Latreille, 1798)","1.11","0.681-1.82","1.99 ± 0.40","-0.09","3.5",17,0.5,"3.5-5.5",""
"","Formicidae","L. niger (Linnaeus, 1758)","31.5","21.6-46.0","2.97 ± 0.67","-4.46","2.4",17,0.4,"3-4.5",""
