"Group","Range","Order","Family","Species","Trophic","LC50","Boundary"
"Ultrasensitive","< 0.01","Coleoptera","Staphylinidae","Xantholinus tricolor (Fabricius, 1787)","z","0.00956","yes"
"Hypersensitivity","0.01-0.1","Coleoptera","Staphylinidae","Ph. carbonarius (Gravenhorst, 1802)","z","0.0125","yes"
"Hypersensitivity","0.01-0.1","Coleoptera","Staphylinidae","Ph. cruentatus (Gmelin, 1790)","z","0.0160","no"
"Hypersensitivity","0.01-0.1","Coleoptera","Staphylinidae","Philonthus coprophilus Jarrige, 1949","z","0.0176","no"
"Hypersensitivity","0.01-0.1","Coleoptera","Staphylinidae","X. longiventris Heer, 1839","z","0.0218","no"
"Hypersensitivity","0.01-0.1","Coleoptera","Staphylinidae","Ph. nitidus (Fabricius, 1787)","z","0.0241","no"
"Hypersensitivity","0.01-0.1","Hemiptera","Pyrrhocoridae","Pyrrhocoris apterus (Linnaeus, 1758)","p","0.0292","no"
"Hypersensitivity","0.01-0.1","Coleoptera","Staphylinidae","Ph. decorus (Gravenhorst, 1802)","z","0.0428","no"
"Hypersensitivity","0.01-0.1","Coleoptera","Staphylinidae","Drusilla canaliculata (Fabricius, 1787)","z","0.0669","no"
"Hypersensitivity","0.01-0.1","Coleoptera","Staphylinidae","Tachyporus hypnorum (Fabricius, 1775)","z","0.0849","yes"
"Sensitivity","0.1-1","Coleoptera","Staphylinidae","Tachinus signatus Gravenhorst, 1802","z","0.116","yes"
"Sensitivity","0.1-1","Coleoptera","Staphylinidae","Ontholestes murinus (Linnaeus, 1758)","z","0.123","yes"
"Sensitivity","0.1-1","Coleoptera","Silphidae","Phosphuga atrata (Linnaeus, 1758)","z","0.179","no"
"Sensitivity","0.1-1","Coleoptera","Silphidae","Silpha carinata Herbst, 1783","p","0.180","no"
"Sensitivity","0.1-1","Coleoptera","Carabidae","Carabus convexus Fabricius, 1775","z","0.351","no"
"Sensitivity","0.1-1","Coleoptera","Carabidae","C. hortensis Linnaeus, 1758","z","0.708","yes"
"Sensitivity","0.1-1","Coleoptera","Carabidae","C. granulatus Linnaeus, 1758","z","0.793","yes"
"Moderate sensitivity","1-10","Hymenoptera","Formicidae","L. fuliginosus (Latreille, 1798)","p","1.11","yes"
"Moderate sensitivity","1-10","Hemiptera","Lygaeidae","Scolopostethus pilosus Reuter,1874","f","1.12","yes"
"Moderate sensitivity","1-10","Coleoptera","Cantharidae","Podistra schoenherri (Dejean, 1837)","p","1.24","yes"
"Moderate sensitivity","1-10","Coleoptera","Aphodiidae","Aphodius foetens (Fabricius, 1787)","s","1.28","yes"
"Moderate sensitivity","1-10","Hemiptera","Lygaeidae","Rhyparochromus phoeniceus (Rossi, 1794)","f","1.34","yes"
"Moderate sensitivity","1-10","Hemiptera","Miridae","Lygus pratensis (Linnaeus, 1758)","f","1.68","no"
"Moderate sensitivity","1-10","Coleoptera","Carabidae","Amara nitida Sturm, 1825","z","2.08","no"
"Moderate sensitivity","1-10","Hemiptera","Coreidae","Coreus marginatus (Linnaeus, 1758)","f","2.09","no"
"Moderate sensitivity","1-10","Isopoda","Porcellionidae","Porcellio laevis Latreille, 1804","s","2.23","no"
"Moderate sensitivity","1-10","Coleoptera","Aphodiidae","Teuchestes fossor (Linnaeus, 1758)","s","2.82","no"
"Moderate sensitivity","1-10","Julida","Julidae","Megaphyllum sp.","s","2.96","no"
"Moderate sensitivity","1-10","Hymenoptera","Formicidae","Myrmica ruginodis Nylander, 1846","p","3.35","no"
"Moderate sensitivity","1-10","Lithobiomorpha","Lithobiidae","Lithobius forficatus (Linnaeus, 1758)","z","3.92","no"
"Moderate sensitivity","1-10","Coleoptera","Histeridae","Hister fenestus Erichson, 1834","z","4.27","no"
"Moderate sensitivity","1-10","Hemiptera","Pentatomidae","Graphosoma italicum (Müller, 1766)","f","4.60","no"
"Moderate sensitivity","1-10","Orthoptera","Acrididae","Chorthippus sp. 2","f","5.27","no"
"Moderate sensitivity","1-10","Hymenoptera","Formicidae","Lasius flavus (Fabricius, 1782)","p","7.25","yes"
"Moderate sensitivity","1-10","Dermaptera","Spongiphoridae","Labia minor (Linnaeus, 1758)","p","7.71","yes"
"Moderate sensitivity","1-10","Orthoptera","Acrididae","Chorthippus sp. 1","f","8.33","yes"
"Insensitive","10-100","Coleoptera","Carabidae","Notiophilus palustris (Duftschmid, 1812)","z","14.87","yes"
"Insensitive","10-100","Julida","Julidae","Cylindroiulus truncorum (Silvestri, 1896)","s","23.65","no"
"Insensitive","10-100","Coleoptera","Carabidae","Poecilus versicolor (Sturm, 1824)","z","26.17","no"
"Insensitive","10-100","Hymenoptera","Formicidae","L. niger (Linnaeus, 1758)","p","31.51","no"
"Insensitive","10-100","Coleoptera","Carabidae","Harpalus latus (Linnaeus, 1758)","z","33.12","no"
"Insensitive","10-100","Coleoptera","Carabidae","Nebria brevicollis (Fabricius, 1792)","z","48.62","no"
"Insensitive","10-100","Geophilomorpha","Geophilidae","Geophilus carpophagus Leach, 1815","z","49.88","no"
"Insensitive","10-100","Coleoptera","Carabidae","Ophonus rufibarbis (Fabricius, 1792)","z","54.41","no"
"Insensitive","10-100","Coleoptera","Carabidae","H. rufipes (DeGeer, 1774)","z","58.34","no"
"Insensitive","10-100","Coleoptera","Cetoniidae","Oxythyrea funesta (Poda, 1761)","f","58.53","yes"
"Insensitive","10-100","Coleoptera","Carabidae","Calathus fuscipes (Goeze, 1777)","z","85.47","yes"
"Low acute sensitivity",">= 100","Dermaptera","Forficulidae","Forficula auricularia Linnaeus, 1758","p","105.06","yes"
"Low acute sensitivity",">= 100","Coleoptera","Carabidae","P. melanarius (Illiger, 1798)","z","137.13","yes"
"Low acute sensitivity",">= 100","Coleoptera","Carabidae","Pterostichus niger (Schaller, 1783)","z","252.92","no"
